CustomerID,Email,Segment,Subsegment,Status
12993,jcontreras@example.com,Nurture,"Nurture, Low CLV",active
12994,shafferruth@example.com,Nurture,"Nurture, Medium CLV",active
12997,shannon11@example.net,Risk,"Risk, Medium CLV",active
12999,lparker@example.com,High Value,"High Value, Low CLV",active
13000,amberdaniels@example.com,Risk,"Risk, Low CLV",active
13001,powelltyler@example.net,Risk,"Risk, High CLV",active
13003,masontodd@example.org,High Value,"High Value, Low CLV",active
13004,christy19@example.org,Risk,"Risk, High CLV",active
13005,michael95@example.net,High Value,"High Value, Low CLV",active
13012,eric29@example.org,Risk,"Risk, Medium CLV",active
13013,eileen16@example.org,Risk,"Risk, Medium CLV",active
13014,kmerritt@example.com,Risk,"Risk, High CLV",active
13015,thomasjorge@example.com,Risk,"Risk, High CLV",active
13016,kroberts@example.net,High Value,"High Value, Medium CLV",active
13018,makayla18@example.org,Risk,"Risk, High CLV",active
13021,zacharymcintyre@example.net,Risk,"Risk, Medium CLV",active
13023,tara57@example.com,High Value,"High Value, Medium CLV",active
13026,wyoung@example.com,Nurture,"Nurture, Medium CLV",active
13027,moodymegan@example.com,Risk,"Risk, High CLV",active
13028,ggonzales@example.net,High Value,"High Value, High CLV",active
13029,kjones@example.org,Risk,"Risk, Low CLV",active
13030,sampsonlouis@example.com,Risk,"Risk, Low CLV",active
13032,johnmalone@example.org,Risk,"Risk, High CLV",active
13034,theresa25@example.net,Risk,"Risk, Low CLV",active
13035,pauladams@example.com,Risk,"Risk, Medium CLV",active
13037,ericfoster@example.com,High Value,"High Value, Medium CLV",active
13038,alexandersandra@example.net,Nurture,"Nurture, Low CLV",active
13040,btorres@example.org,High Value,"High Value, High CLV",active
13046,nmorrow@example.com,Risk,"Risk, Low CLV",active
13047,davidhernandez@example.net,Risk,"Risk, Medium CLV",active
13048,warrenkendra@example.net,Risk,"Risk, Medium CLV",active
13049,ngibson@example.org,Risk,"Risk, Low CLV",active
13050,dennis36@example.org,Risk,"Risk, High CLV",active
13055,josebecker@example.com,Risk,"Risk, Medium CLV",active
13058,rmoran@example.net,High Value,"High Value, Medium CLV",active
13064,george71@example.net,Risk,"Risk, Medium CLV",active
13066,dannycole@example.org,High Value,"High Value, High CLV",active
13068,gharrell@example.net,Risk,"Risk, Low CLV",active
13069,joseph20@example.net,Risk,"Risk, High CLV",active
13077,zacharycunningham@example.org,Risk,"Risk, Low CLV",active
13078,schwartzamber@example.net,Risk,"Risk, High CLV",active
13079,brewercassandra@example.net,High Value,"High Value, Medium CLV",active
13081,scott24@example.net,Risk,"Risk, High CLV",active
13082,smithdonna@example.net,Risk,"Risk, High CLV",active
13083,patricksandra@example.org,High Value,"High Value, Medium CLV",active
13085,lallen@example.org,High Value,"High Value, Low CLV",active
13089,williamsjohn@example.org,Risk,"Risk, High CLV",active
13090,millerjohn@example.com,Risk,"Risk, High CLV",active
13092,jamesblack@example.org,Risk,"Risk, Low CLV",active
13093,pgibson@example.net,Risk,"Risk, High CLV",active
13094,rayyolanda@example.net,Risk,"Risk, Medium CLV",active
13097,richard59@example.org,Risk,"Risk, High CLV",active
13098,tyler13@example.org,Risk,"Risk, High CLV",active
13102,taralopez@example.net,Risk,"Risk, High CLV",active
13104,mcguirediane@example.org,Risk,"Risk, Low CLV",active
13107,halltyler@example.com,Nurture,"Nurture, Medium CLV",active
13109,michelle21@example.com,Risk,"Risk, Medium CLV",active
13110,ericksonjoan@example.net,Risk,"Risk, Medium CLV",active
13113,bruce93@example.net,Risk,"Risk, High CLV",active
13115,ggonzalez@example.org,Risk,"Risk, High CLV",active
13117,browncody@example.net,Risk,"Risk, Low CLV",active
13118,michelle36@example.net,Nurture,"Nurture, Medium CLV",active
13122,mccormickvictoria@example.com,High Value,"High Value, Low CLV",active
13124,prussell@example.org,Risk,"Risk, Medium CLV",active
13126,mreese@example.org,Risk,"Risk, Medium CLV",active
13131,copelandkelly@example.com,Nurture,"Nurture, Medium CLV",active
13133,michaelcalhoun@example.net,High Value,"High Value, Low CLV",active
13134,lynnhunter@example.com,Risk,"Risk, High CLV",active
13136,brandongonzalez@example.org,Risk,"Risk, High CLV",active
13137,ronald03@example.com,Risk,"Risk, High CLV",active
13138,heather32@example.org,Risk,"Risk, Low CLV",active
13139,bennettkenneth@example.org,Risk,"Risk, High CLV",active
13140,jessica31@example.net,Risk,"Risk, Low CLV",active
13141,crussell@example.com,Risk,"Risk, High CLV",active
13145,hclements@example.com,Risk,"Risk, Low CLV",active
13147,andrewbrennan@example.com,High Value,"High Value, High CLV",active
13148,anthonyjohnson@example.com,Risk,"Risk, Medium CLV",active
13149,hsantos@example.com,Risk,"Risk, Medium CLV",active
13155,alan93@example.org,Risk,"Risk, Low CLV",active
13157,angela36@example.org,Risk,"Risk, Medium CLV",active
13158,lisacantu@example.org,Nurture,"Nurture, Medium CLV",active
13159,milleramanda@example.org,Nurture,"Nurture, High CLV",active
13162,vvega@example.net,Nurture,"Nurture, Medium CLV",active
13165,gary09@example.net,Risk,"Risk, Low CLV",active
13167,michaelshaffer@example.net,High Value,"High Value, Medium CLV",active
13168,sheppardamanda@example.org,Nurture,"Nurture, Medium CLV",active
13169,aguzman@example.org,Nurture,"Nurture, Low CLV",active
13171,amandaacosta@example.net,Nurture,"Nurture, Low CLV",active
13173,bradleyjenna@example.org,Risk,"Risk, Low CLV",active
13174,wyattrussell@example.net,Risk,"Risk, Low CLV",active
13178,hailey70@example.net,Risk,"Risk, High CLV",active
13183,jesusroberts@example.net,Risk,"Risk, High CLV",active
13184,douglaspatrick@example.com,Risk,"Risk, High CLV",active
13186,michelleclark@example.com,High Value,"High Value, Medium CLV",active
13189,valenciadonna@example.net,High Value,"High Value, Medium CLV",active
13192,wdaniel@example.com,Risk,"Risk, Medium CLV",active
13196,riverskristen@example.org,Risk,"Risk, Medium CLV",active
13198,laurastone@example.net,Risk,"Risk, Medium CLV",active
13199,latoya34@example.net,Risk,"Risk, High CLV",active
13200,crystal50@example.org,High Value,"High Value, Medium CLV",active
13203,pmelendez@example.com,Nurture,"Nurture, Medium CLV",active
13207,justin21@example.org,High Value,"High Value, Low CLV",active
13208,daviserin@example.net,Nurture,"Nurture, Medium CLV",active
13209,vjames@example.com,Risk,"Risk, High CLV",active
13211,jacksonandrew@example.org,Risk,"Risk, Low CLV",active
13212,dpowell@example.org,Risk,"Risk, High CLV",active
13213,rthomas@example.com,Nurture,"Nurture, High CLV",active
13217,kenneth64@example.com,High Value,"High Value, Medium CLV",active
13220,rsanchez@example.net,Nurture,"Nurture, Medium CLV",active
13221,donaldyang@example.net,Risk,"Risk, Low CLV",active
13223,bknox@example.net,High Value,"High Value, Low CLV",active
13224,millergabrielle@example.com,Risk,"Risk, High CLV",active
13225,brownethan@example.com,Risk,"Risk, High CLV",active
13230,rmartin@example.org,Risk,"Risk, Medium CLV",active
13232,barbaracook@example.com,Risk,"Risk, High CLV",active
13233,vwolfe@example.org,Nurture,"Nurture, Low CLV",active
13236,cynthiawilson@example.net,High Value,"High Value, Medium CLV",active
13238,jonathanjensen@example.com,Risk,"Risk, Low CLV",active
13240,santosmadeline@example.com,Risk,"Risk, Low CLV",active
13242,amanda58@example.org,High Value,"High Value, Low CLV",active
13246,faith45@example.com,Risk,"Risk, Medium CLV",active
13247,debbie39@example.org,High Value,"High Value, Medium CLV",active
13248,amber73@example.org,High Value,"High Value, Low CLV",active
13249,vbaldwin@example.com,Nurture,"Nurture, Low CLV",active
13253,hilltommy@example.net,Risk,"Risk, Low CLV",active
13255,travis65@example.com,Risk,"Risk, Low CLV",active
13258,rileycurtis@example.com,Nurture,"Nurture, Medium CLV",active
13261,fcarey@example.net,High Value,"High Value, Low CLV",active
13263,rodriguezsylvia@example.org,Risk,"Risk, High CLV",active
13265,millernicholas@example.com,Risk,"Risk, High CLV",active
13266,brownlisa@example.com,Risk,"Risk, High CLV",active
13267,xperez@example.net,Risk,"Risk, High CLV",active
13268,parkergary@example.net,Risk,"Risk, High CLV",active
13269,solisveronica@example.org,Risk,"Risk, High CLV",active
13272,robertsanthony@example.org,High Value,"High Value, Medium CLV",active
13276,butlertonya@example.com,Risk,"Risk, Medium CLV",active
13277,lindawhite@example.com,High Value,"High Value, Medium CLV",active
13280,christopher28@example.com,Nurture,"Nurture, Low CLV",active
13282,laura25@example.net,Risk,"Risk, Medium CLV",active
13283,omartinez@example.net,High Value,"High Value, Low CLV",active
13285,brian49@example.com,Risk,"Risk, High CLV",active
13292,melissadelgado@example.net,Nurture,"Nurture, Low CLV",active
13294,mike08@example.com,High Value,"High Value, Low CLV",active
13297,mark53@example.com,High Value,"High Value, High CLV",active
13301,williamsdeborah@example.com,Nurture,"Nurture, Low CLV",active
13305,amanda23@example.com,Risk,"Risk, Medium CLV",active
13308,jason96@example.org,Nurture,"Nurture, Medium CLV",active
13309,rmoody@example.com,Risk,"Risk, Medium CLV",active
13310,nguyendaniel@example.net,Risk,"Risk, Medium CLV",active
13311,joshua74@example.com,High Value,"High Value, Low CLV",active
